d_loss,epoch,g_loss,step
0.6518679261207581,0,0.5374045372009277,49
1.2183386087417603,0,0.3531196713447571,99
0.38977792859077454,0,0.7520501613616943,149
0.32578879594802856,0,0.8118277788162231,199
0.28290343284606934,0,0.9088060855865479,249
0.22870849072933197,0,1.0437302589416504,299
0.18121862411499023,0,1.38694429397583,349
0.1094760075211525,0,1.98872709274292,399
0.06872308254241943,1,2.70182728767395,449
0.48461008071899414,1,1.0818982124328613,499
0.14275848865509033,1,2.202054500579834,549
0.10002082586288452,1,2.7255496978759766,599
0.2022719383239746,1,2.1971073150634766,649
0.16380591690540314,1,2.7219529151916504,699
0.17151735723018646,1,2.4722442626953125,749
0.10177426040172577,1,3.533358335494995,799
0.16292259097099304,1,2.8650598526000977,849
0.13319741189479828,2,2.801633834838867,899
0.20404089987277985,2,2.453685760498047,949
0.239754319190979,2,2.299686908721924,999
0.2720757722854614,2,2.1666159629821777,1049
0.288141131401062,2,1.9444916248321533,1099
0.3141922354698181,2,1.9337189197540283,1149
0.3473479747772217,2,2.2674999237060547,1199
0.2467343956232071,2,2.2905592918395996,1249
0.18712186813354492,3,2.3698668479919434,1299
0.25271978974342346,3,2.5320749282836914,1349
0.22246398031711578,3,2.1950178146362305,1399
0.2628299295902252,3,2.4917469024658203,1449
0.19803135097026825,3,2.419827461242676,1499
0.17786678671836853,3,2.2620792388916016,1549
0.20457106828689575,3,2.539572238922119,1599
0.18896222114562988,3,2.3384597301483154,1649
0.2268788069486618,3,2.8673110008239746,1699
0.18389245867729187,4,2.766733169555664,1749
0.2414618283510208,4,2.494713068008423,1799
0.18523111939430237,4,2.9517734050750732,1849
0.1674918681383133,4,2.813516616821289,1899
0.16261732578277588,4,3.023470401763916,1949
0.17281800508499146,4,3.0398871898651123,1999
0.20430421829223633,4,3.1109671592712402,2049
0.21443502604961395,4,3.0115511417388916,2099
0.19826769828796387,4,2.71584153175354,2149
